shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10866897:1,35.27386093,-120.70899963,74,8762.76505217
10866897:1,35.27576065,-120.71067047,75,9022.81825535
10866897:1,35.27661133,-120.71161652,76,9150.57855411
10866897:1,35.28131104,-120.70877838,77,9733.21578406
10866897:1,35.28203964,-120.70796204,78,9843.00964099
10866897:1,35.28271103,-120.70649719,79,9995.49824916
10866897:1,35.28271103,-120.70649719,80,9995.49824916
10866897:1,35.28424072,-120.70310211,81,10347.49164005
10866897:1,35.28638077,-120.70023346,82,10700.22800695
10866897:1,35.28807068,-120.69609070,83,11120.58300839
10866897:1,35.28992844,-120.69219208,84,11530.31685884
10866897:1,35.29129028,-120.69017792,85,11767.69751131
10866897:1,35.29206085,-120.68859100,86,11935.28525860
10866897:1,35.29370880,-120.68672943,87,12184.53091998
10866897:1,35.29397964,-120.68631744,88,12232.54210503
10866897:1,35.29415131,-120.68553162,89,12306.37163495
10866897:1,35.29415131,-120.68208313,90,12619.34562604
10866897:1,35.29415131,-120.68208313,91,12619.34562604
10866897:1,35.29415131,-120.67800140,92,12989.79050488
10866897:1,35.29288864,-120.67801666,93,13130.19925369
10866897:1,35.29290009,-120.67746735,94,13180.07052960
10866897:1,35.29290009,-120.67746735,95,13180.07052960
10866897:1,35.29290009,-120.67485809,96,13416.88194462
10866897:1,35.29280090,-120.67436218,97,13463.22148523
10866897:1,35.29277039,-120.67402649,98,13493.87688908
10866897:1,35.29277039,-120.67402649,99,13493.87688908
10866897:1,35.29278183,-120.67172241,100,13702.99525469
10866897:1,35.29410172,-120.67167664,101,13849.81858978
10866897:1,35.29407883,-120.66989899,102,14011.17272220
10866897:1,35.29407120,-120.66989899,103,14012.02107216
10866897:1,35.29404068,-120.66681671,104,14291.77979810
10866897:1,35.29415894,-120.66622162,105,14347.36630769
10866897:1,35.29415894,-120.66622162,106,14347.36630769
10866897:1,35.29499817,-120.66381836,107,14584.60218363
10866897:1,35.29636002,-120.66491699,108,14765.91021474
10866897:1,35.29711914,-120.66525269,109,14855.65058875
10866897:1,35.29999924,-120.66612244,110,15185.48632917
10866897:1,35.30134964,-120.66638184,111,15337.47829686
10866897:1,35.30169296,-120.66635895,112,15375.71050836
10866897:1,35.30207062,-120.66456604,113,15543.74557065
10866897:1,35.30231094,-120.66325378,114,15665.79158756
10866897:1,35.30231094,-120.66323853,115,15667.17628860
10866897:1,35.30234909,-120.66304779,116,15684.99721954
